bugid,sd,rs
550738,Job reschedule fails after cancellation,1
550740,OpenJ9 Website/Doc: Can't clone the website & docs on the new infra,1
550742,Replace EGit Early Startup action with OSGi service,1
550743,[release] tools.linuxtools 7.4.0,1
550745,getAdapter in WorkbenchPart should use generics as its RCP counterpart does,1
550746,Shorten perspective switcher text,1
550747,perspectiveExtensions::hiddenToolBarItem hides toolbar item in non target perspectives,0
550748,openssl tools (s_client/s_server) for Californium - default-agent-5ff5n / interoperability tests,0
550749,[terminate] technology.oscano,1
550750,[14] JEP 359 : Records (Preview) Grammar Changes,1
550751,Typo: Eclipse ECD Charter,1
550755,Crash on exit when Systemtrays are unsupported,1
550758,Delete remote branches,1
550759,Unable to create gerrit in platform repo,1
550760,Declare 4.13 RC2,1
550761,Prep work for 4.14 and open master for development,1
550762,Create parent pom and target sdk deployment jobs for 4.14,1
550763,Create new test jobs for 4.14,1
550764,Configure SWT build scripts for 4.14,1
550765,Need a new temporary splash screen for 4.14,1
550766,Create 4.14-I-builds repo,1
550767,POM and product version change for 4.14 release,1
550768,Update Comparator repo and eclipse run repo to 4.14-I-builds repo,1
550769,Update product version number to 4.14 across build scripts,1
550770,[13] Template for Switch case expression needs an update,1
550771,Hide 4.14 builds from the download page,0
550772,Move previous version to 4.13RC2 across build scripts,1
550773,Show 4.14 builds on download page,0
550774,Update version number in mac's Eclipse.app for 4.14,1
550775,Move to release version of 4.13 in build scripts,1
550776,Create generic repos I-builds and milestones to point to 4.14 repos,1
550777,Version bumps for 4.14 stream,1
550781,Minor - org.eclipse.osgi.internal.framework.FilterImpl#compare_Version trims twice,0
550782,Move I-builds to R4_13_maintenance branch,0
550783,Replace deprecated LogService usage in org.eclipse.e4.ui.internal.workbench.Activator,1
550784,Use shorter text in Workspace was written in a newer/older version,1
550785,Cannot cancel closing projects during checkout,1
550787,P builds and Y builds should be built from 4_13_maintenance,0
550788,Replace Tip of the day Early Startup extension with an OSGi service,1
550789,RadioButtonClickedRule not working,1
550791,Upgrade the ELK version to 0.5.0,1
550792,Change avatar icon of github che-bot user,1
550793,Update to Ant 1.10.7,1
550796,Shorter text in Clean project dialog,1
550797,Tons of JavaBuilder handling CoreExceptions  - File not found,0
550798,JAVA_HOME broken for jdk11-latest on Hono JIPP Instance,1
550799,Improve DataTemplate Editor reference handling,1
550800,[TMF] Dark Theme not applied properly in Filters view,1
550802,NPE in SymbolsLabelProvider.getStyledText(SymbolsLabelProvider.java:213),1
550803,Enable WIP bot for che-operator repository https://github.com/eclipse/che-operator/,1
550806,URGENT-staged-801 directory and nightly-801 directory,1
550808,[release] modeling.mmt.qvt-oml 3.10.0,1
550809,[release] iot.vorto 0.12.0,1
550810,[release] technology.egit 5.5.0,1
550811,[release] technology.jgit 5.5.0,1
550812,[release] technology.omr 0.1.0,1
550814,[Data Template] References to Ecore should use run-time URIs,1
550815,Eclipse Checking spelling not show warning when used English symbols and Ukrainian(Cyrillic) symbols in one word,0
550817,UI freeze during replace with Previous revision in RepositoryActionHandler.findPreviousCommits,1
550818,[null][external] external annotations are dropped when other type annotations exist on the same member,0
550820,Team->Advanced->Create Tag appears in history view's context menu,1
550821,[chain] cannot apply chain proposals where there exists a method containing any parameters,1
550822,Gerrit not sending notification emails and no e-mails to mailing lists,1
550823,[release] tools.wildwebdeveloper 0.5.0,1
550824,[release] technology.lsp4e 0.11.0,1
550825,IProblem.PreviewReleated conflicts with some OT error code,1
550827,Add repository location should be resizable and location area should widen horizontally on resize,1
550828,Activate heap monitor by default,1
550829,[13] Switch Expressions - incorrect compilation error  in yield,1
550830,[Tip of the day] Incorrect usage of SubMonitor API,1
550832,Remove gif which we left during the move to png files,1
550834,Race condition in InputStreamMonitor can delay or block user input to RuntimeProcess,1
550835,once selected quick access elements from lsp4e disappear from list,1
550844,Cannot push to gerrit: An error happened while checking if user has a signed agreement,0
550846,[releng] build fails after upgrading to Guava 27.1,1
550847,Support for window/showMessageRequest,1
550850,[release] iot.kuksa 0.1.0,1
550851,[release] tools.pdt 6.3.0,1
550852,Upgrade JaCoCo to 0.8.5,1
550853,[13] incorrect inner yield classification leading to compilation error,1
550857,"[Project Explorer] Inline rename: Fast sequence of F2, ESC kills Eclipse",1
550858,Typo in the Errors page of listings,1
550861,[13] yield nestled inside a do under a case in switch expression flag errors,1
550863,private access among nest mates is incompatible with copy inheritance,1
550866,Windows test machine is down,1
550867,Wrong License encoding,1
550868,Mismatched API baseline error doesnt go away after removing baseline,1
550869,Searching in plugin registry view shows result after 5 seconds and no progress information,1
550870,Merge editor doesn't save,1
550871,Support jpa 2.2,1
550873,Tag eclipse and equinox 4.13 release,1
550874,Deploy ecj compiler from I20190907-1130 and use it for 4.14 build,1
550875,Update Base builder to 4.13RC2 to build 4.14,1
550876,Update to R4_13_maintenance for P-builds and Y-Builds,1
550877,Wrong snippet string in method org.eclipse.jdt.internal.corext.codemanipulation.StubUtility2Core#createImplementationStubCore,1
550878,Performance: repository state cache for decorators,1
550879,[13] Add org.eclipse.jdt.junit.core to Y-build,0
550881,[Quick Access] Previous Pick Proposals from incremental provider get missing,1
550882,"[diagram] diagram close with ""don't save"" does not work",1
550884,New versions for Kitalpha in Bugzilla,1
550885,Please update entries for 2019-09,1
550886,Match full branch names with hierarchical layout in branch selection dialog,1
550888,"New Project wizard - Removing the ""Use default location"" clears the Location field",0
550891,[10.15] Support macOS 10.15 (Catalina),1
550894,Reduce space usage in toolbar in Linux,1
550895,[editor] Initial transition validation error after project opended,1
550898,Allow to create subfolder in the New File wizard,1
550900,"Publish to Maven by Jenkins: JNoSQL, Jakarta NoSQL",1
550903,[rcp] Unwanted Search menu in main menu for Eclipse 4.13,1
550904,Could not deploy JAX-WS snapshot to OSSRH,1
550905,[release] iot.4diac 1.11.0,1
550906,[release] rt.rap 3.10.0,1
550907,AbstractColumnHideShowLayer#getWidth() incorrect for columnCount == 0,1
550908,JDK 11 latest update to 11.0.4,1
550911,Use same spacing in dark theme as in the light theme,1
550912,[trademark] Trademark approval required for Eclipse IoT packages,1
550913,[AutoRefactor immigration #11/116] [cleanup & saveaction] Push down negation,1
550914,Fortran Project Wizard does not show in empty Project Explorer,1
550916,Enable WebKitGTK back/forward gesture,1
550917,remove user from CDT gerrit,1
550919,Associate *.sha256 extension with Content-Type `text/plain` on download.eclipse.org,1
550920,Async completions proposals popup ignores characters types while completions are calculated,1
550922,Javadoc failure in releng in 9 Sept 4.14 build,0
550925,[OI2JIRO] Migration of JNoSQL JIPP to new CI infrastructure,1
550926,SVG image used as style have their background color computed incorrectly.,1
550928,nested anonymous class code completion not respecting nesting when prompting for methods,1
550931,Cannot install remote marketplace locations,1
550932,Make Quick Access more appealing,1
550933,Cannot cleanup downloads without remote shell access,0
550935,Move source tarball generation to separate job.,1
550938,Synchronized project wizards do not show when workspace is empty,1
550939,Dark theme with Text control and SWT.SEARCH style,1
550942,change in how xsd files with NoTargetNamespace should be mapped to TTCN-3,1
550943,Mojarra multiple directory traversal issues,1
550947,[lttng] Dynamic Thread filtering for active thread on CPU is not working in Control Flow View,1
550949,[region] enable the ALL optimization from cached start,1
550950,Part life-cycle events on startup depend on splash screen,1
550951,Parameter binding for java.time types results in SQL syntax exception,1
550952,Can push changes without change-id,0
550955,Javadoc building fails,1
550956,[Passage] Support mail attachment,1
550957,Outdated Javadoc for MenuManager.dispose,1
550958,[Cocoa] Table loses header after .setParent() to invisible Composite,1
550959,EGits hangs Eclipse UI,1
550962,Align PDE feature version with Platform SDK,0
550963,"Update GDB JTAG device descriptions to provide ""reset and halt"" command",1
550965,Remove swt tools activator,1
550967,[10.15] Mac dark theme not listed in Eclipse,1
550968,symbols label provider causes documents to be connected,1
550971,DiagnosticView always expands itself,1
550972,Disable Gerrits without Change-Id for eclipse.platform,1
550975,OutOfMemoryError Happens When I Format The Java Source File,0
550976,Authorization prompt buttons are unusable on some smaller devices,1
550979,"[Designer, C++, Java] Harmonize use of NoCodeGen stereotype",1
550983,[release] modeling.mdt.papyrus 4.5.0,1
550985,Deployment to Sonatype no longer working,0
550988,Add GlazedLists 1.11.0 to Orbit,1
550989,CCE when comparing a conflict involving rename,1
550991,Protect Eclipse January branch january_2_3,1
550992,Add support for experimental features,1
550993,p2 Gerrit verification build fails,1
550994,-Papi-check fails the eclipse.platform.ui Gerrit verification build,1
550995,Enable API check for new bundles introduced in 4.13,1
550996,[13] Text Block expression type binding is being set to null instead of java.lang.String,1
550997,notarize mac apps,1
550998,GTK - Stabilize org.eclipse.jface.tests.viewers.VirtualLazyTreeViewerTest.testExpandToLevel,0
550999,Stop offering any downloads using plain HTTP without encryption,1
551000,Support GenModel versions for 2019-12 and EMF 2.20,1
551001,[13] Text Block auto completion should not include ; at the end.,1
551002,[13] Refactor > Extract Local Variable and Extract Constant not working on Text Block,1
551003,[13] Can not add a breakpoint to final TextBlock field,1
551004,Trim leading spaces in copy from Installation dialog,0
551005,[13] Text Block Escaped Value only shows the first line in ASTView,1
551010,perl on jenkins.eclipse.org,0
551011,OpenGCAction generates null pointer exception if default binary wasn't found,1
551012,New problems with Redundant null check for involving constants,1
